video_id,component,npz,n_frames,duration,cell
--jz7k19d90,core_clip,embeddings.npz,165,41,short/unk/other
--jz7k19d90,core_optical_flow,flow.npz,165,41,short/unk/other
--jz7k19d90,cut_detection,cut_detection_features_2026-07-19_19-27-44-486027_e3f44b51.npz,165,41,short/unk/other
--jz7k19d90,cut_detection,cut_detection_model_facing_2026-07-19_19-27-44-033481_d19b74f3.npz,165,41,short/unk/other
--jz7k19d90,scene_classification,scene_classification_features.npz,165,41,short/unk/other
--jz7k19d90,uniqueness,uniqueness.npz,120,41,short/unk/other
--jz7k19d90,video_pacing,video_pacing_features.npz,120,41,short/unk/other
-08QxGsXkx8,core_clip,embeddings.npz,207,52,short/unk/other
-08QxGsXkx8,core_optical_flow,flow.npz,207,52,short/unk/other
-08QxGsXkx8,cut_detection,cut_detection_features_2026-07-20_00-59-55-865400_6a1de911.npz,207,52,short/unk/other
-08QxGsXkx8,cut_detection,cut_detection_model_facing_2026-07-20_00-59-55-453877_3eafbe28.npz,207,52,short/unk/other
-08QxGsXkx8,scene_classification,scene_classification_features.npz,207,52,short/unk/other
-08QxGsXkx8,uniqueness,uniqueness.npz,120,52,short/unk/other
-08QxGsXkx8,video_pacing,video_pacing_features.npz,120,52,short/unk/other
-0CTdPrK_M4,core_clip,embeddings.npz,66,17,short/v_viral/ru
-0CTdPrK_M4,core_optical_flow,flow.npz,66,17,short/v_viral/ru
-0CTdPrK_M4,cut_detection,cut_detection_features_2026-07-19_20-15-45-953297_9ea7d419.npz,66,17,short/v_viral/ru
-0CTdPrK_M4,cut_detection,cut_detection_model_facing_2026-07-19_20-15-45-552466_b339b9c0.npz,66,17,short/v_viral/ru
-0CTdPrK_M4,scene_classification,scene_classification_features.npz,66,17,short/v_viral/ru
-0CTdPrK_M4,uniqueness,uniqueness.npz,66,17,short/v_viral/ru
-0CTdPrK_M4,video_pacing,video_pacing_features.npz,66,17,short/v_viral/ru
-0g23pjxC7Y,core_clip,embeddings.npz,23,6,vshort/v_viral/ru
-0g23pjxC7Y,core_optical_flow,flow.npz,23,6,vshort/v_viral/ru
-0g23pjxC7Y,cut_detection,cut_detection_model_facing_2026-07-19_21-15-41-731123_4754095c.npz,23,6,vshort/v_viral/ru
-0g23pjxC7Y,cut_detection,cut_detection_features_2026-07-19_21-15-42-059417_566808b4.npz,23,6,vshort/v_viral/ru
-0g23pjxC7Y,scene_classification,scene_classification_features.npz,23,6,vshort/v_viral/ru
-0g23pjxC7Y,uniqueness,uniqueness.npz,23,6,vshort/v_viral/ru
-0g23pjxC7Y,video_pacing,video_pacing_features.npz,0,6,vshort/v_viral/ru
-2TYpP_XcuE,core_clip,embeddings.npz,278,172,medium/v_low/ru
-2TYpP_XcuE,core_optical_flow,flow.npz,278,172,medium/v_low/ru
-2TYpP_XcuE,cut_detection,cut_detection_features_2026-07-20_00-31-37-647079_45041098.npz,278,172,medium/v_low/ru
-2TYpP_XcuE,cut_detection,cut_detection_model_facing_2026-07-20_00-31-37-149541_e1749a62.npz,278,172,medium/v_low/ru
-2TYpP_XcuE,scene_classification,scene_classification_features.npz,250,172,medium/v_low/ru
-2TYpP_XcuE,uniqueness,uniqueness.npz,120,172,medium/v_low/ru
-2TYpP_XcuE,video_pacing,video_pacing_features.npz,120,172,medium/v_low/ru
-4ZTWkO09n4,cut_detection,cut_detection_features_2026-07-19_18-41-43-026460_3c980679.npz,316,791,long/v_100k/other
-5uh-3Yg8Wc,core_clip,embeddings.npz,15,5,vshort/v_1m/ru
-5uh-3Yg8Wc,core_optical_flow,flow.npz,15,5,vshort/v_1m/ru
-5uh-3Yg8Wc,cut_detection,cut_detection_features_2026-07-19_20-53-29-944470_7f73a34c.npz,15,5,vshort/v_1m/ru
-5uh-3Yg8Wc,cut_detection,cut_detection_model_facing_2026-07-19_20-53-29-535586_5ee75a21.npz,15,5,vshort/v_1m/ru
-5uh-3Yg8Wc,scene_classification,scene_classification_features.npz,15,5,vshort/v_1m/ru
-5uh-3Yg8Wc,uniqueness,uniqueness.npz,15,5,vshort/v_1m/ru
-5uh-3Yg8Wc,video_pacing,video_pacing_features.npz,0,5,vshort/v_1m/ru
-63tdE9tJD0,core_clip,embeddings.npz,20,6,vshort/v_10k/ru
-63tdE9tJD0,core_optical_flow,flow.npz,20,6,vshort/v_10k/ru
-63tdE9tJD0,cut_detection,cut_detection_model_facing_2026-07-19_20-40-01-331339_2d2722a9.npz,20,6,vshort/v_10k/ru
-63tdE9tJD0,cut_detection,cut_detection_features_2026-07-19_20-40-01-762683_f52bd562.npz,20,6,vshort/v_10k/ru
-63tdE9tJD0,scene_classification,scene_classification_features.npz,20,6,vshort/v_10k/ru
-63tdE9tJD0,uniqueness,uniqueness.npz,20,6,vshort/v_10k/ru
-63tdE9tJD0,video_pacing,video_pacing_features.npz,0,6,vshort/v_10k/ru
-6PQjD6-YUA,core_clip,embeddings.npz,97,25,short/v_1m/other
-6PQjD6-YUA,core_optical_flow,flow.npz,97,25,short/v_1m/other
-6PQjD6-YUA,cut_detection,cut_detection_model_facing_2026-07-20_22-59-00-325446_3bfe912c.npz,97,25,short/v_1m/other
-6PQjD6-YUA,cut_detection,cut_detection_features_2026-07-20_22-59-00-995552_62a5bc3d.npz,97,25,short/v_1m/other
-6PQjD6-YUA,scene_classification,scene_classification_features.npz,97,25,short/v_1m/other
-6PQjD6-YUA,uniqueness,uniqueness.npz,97,25,short/v_1m/other
-6PQjD6-YUA,video_pacing,video_pacing_features.npz,97,25,short/v_1m/other
-77_MfZmLkg,core_clip,embeddings.npz,278,172,medium/v_100k/en
-77_MfZmLkg,core_optical_flow,flow.npz,278,172,medium/v_100k/en
-77_MfZmLkg,cut_detection,cut_detection_model_facing_2026-07-20_20-08-48-446829_e8282a6f.npz,278,172,medium/v_100k/en
-77_MfZmLkg,cut_detection,cut_detection_features_2026-07-20_20-08-48-973980_72bd2207.npz,278,172,medium/v_100k/en
-77_MfZmLkg,scene_classification,scene_classification_features.npz,250,172,medium/v_100k/en
-77_MfZmLkg,uniqueness,uniqueness.npz,120,172,medium/v_100k/en
-77_MfZmLkg,video_pacing,video_pacing_features.npz,120,172,medium/v_100k/en
-9tUZUb5Z8Q,core_clip,embeddings.npz,267,133,medium/v_low/other
-9tUZUb5Z8Q,core_optical_flow,flow.npz,267,133,medium/v_low/other
-9tUZUb5Z8Q,cut_detection,cut_detection_features_2026-07-19_19-13-50-850775_6adde0bd.npz,267,133,medium/v_low/other
-9tUZUb5Z8Q,cut_detection,cut_detection_model_facing_2026-07-19_19-13-50-347960_9b34a604.npz,267,133,medium/v_low/other
-9tUZUb5Z8Q,scene_classification,scene_classification_features.npz,249,133,medium/v_low/other
-9tUZUb5Z8Q,uniqueness,uniqueness.npz,119,133,medium/v_low/other
-9tUZUb5Z8Q,video_pacing,video_pacing_features.npz,119,133,medium/v_low/other
-APhlw9d2KY,core_clip,embeddings.npz,240,61,medium/v_viral/other
-APhlw9d2KY,core_optical_flow,flow.npz,240,61,medium/v_viral/other
-APhlw9d2KY,cut_detection,cut_detection_model_facing_2026-07-19_19-21-15-301077_fcc364cf.npz,240,61,medium/v_viral/other
-APhlw9d2KY,cut_detection,cut_detection_features_2026-07-19_19-21-15-827576_16ac8f4f.npz,240,61,medium/v_viral/other
-APhlw9d2KY,scene_classification,scene_classification_features.npz,240,61,medium/v_viral/other
-APhlw9d2KY,uniqueness,uniqueness.npz,120,61,medium/v_viral/other
-APhlw9d2KY,video_pacing,video_pacing_features.npz,120,61,medium/v_viral/other
-AssN_bljFU,core_clip,embeddings.npz,260,112,medium/v_low/ru
-AssN_bljFU,core_optical_flow,flow.npz,260,112,medium/v_low/ru
-AssN_bljFU,cut_detection,cut_detection_features_2026-07-20_14-25-37-256934_9c7bc89c.npz,260,112,medium/v_low/ru
-AssN_bljFU,cut_detection,cut_detection_model_facing_2026-07-20_14-25-36-674676_a1fb9259.npz,260,112,medium/v_low/ru
-AssN_bljFU,scene_classification,scene_classification_features.npz,249,112,medium/v_low/ru
-AssN_bljFU,uniqueness,uniqueness.npz,119,112,medium/v_low/ru
-AssN_bljFU,video_pacing,video_pacing_features.npz,119,112,medium/v_low/ru
-GfgpQJihW4,core_clip,embeddings.npz,51,13,short/v_10k/ru
-GfgpQJihW4,core_optical_flow,flow.npz,51,13,short/v_10k/ru
-GfgpQJihW4,cut_detection,cut_detection_model_facing_2026-07-20_01-31-15-267706_b9c49e2f.npz,51,13,short/v_10k/ru
-GfgpQJihW4,cut_detection,cut_detection_features_2026-07-20_01-31-15-748426_a3c8d6f1.npz,51,13,short/v_10k/ru
-GfgpQJihW4,scene_classification,scene_classification_features.npz,51,13,short/v_10k/ru
-GfgpQJihW4,uniqueness,uniqueness.npz,51,13,short/v_10k/ru
-GfgpQJihW4,video_pacing,video_pacing_features.npz,51,13,short/v_10k/ru
-IH8kA5ItfI,core_clip,embeddings.npz,300,568,long/v_1m/other
-J-XPik4yoA,core_clip,embeddings.npz,36,9,vshort/v_low/en
-J-XPik4yoA,core_optical_flow,flow.npz,36,9,vshort/v_low/en
-J-XPik4yoA,cut_detection,cut_detection_features_2026-07-19_20-57-04-460575_52cc435e.npz,36,9,vshort/v_low/en
-J-XPik4yoA,cut_detection,cut_detection_model_facing_2026-07-19_20-57-04-155451_690bd2ce.npz,36,9,vshort/v_low/en
-J-XPik4yoA,scene_classification,scene_classification_features.npz,36,9,vshort/v_low/en
-J-XPik4yoA,uniqueness,uniqueness.npz,36,9,vshort/v_low/en
-J-XPik4yoA,video_pacing,video_pacing_features.npz,36,9,vshort/v_low/en
-MQLv2xgg0s,core_clip,embeddings.npz,236,60,medium/v_low/en
-MQLv2xgg0s,core_optical_flow,flow.npz,236,60,medium/v_low/en
-MQLv2xgg0s,cut_detection,cut_detection_model_facing_2026-07-20_21-21-54-258450_d2cbf9ee.npz,236,60,medium/v_low/en
-MQLv2xgg0s,cut_detection,cut_detection_features_2026-07-20_21-21-54-780977_e4a906d3.npz,236,60,medium/v_low/en
-MQLv2xgg0s,scene_classification,scene_classification_features.npz,236,60,medium/v_low/en
-MQLv2xgg0s,uniqueness,uniqueness.npz,119,60,medium/v_low/en
-MQLv2xgg0s,video_pacing,video_pacing_features.npz,119,60,medium/v_low/en
-NXcTEiJV8k,core_clip,embeddings.npz,33,9,vshort/v_10k/en
-NXcTEiJV8k,core_optical_flow,flow.npz,33,9,vshort/v_10k/en
-NXcTEiJV8k,cut_detection,cut_detection_features_2026-07-20_16-51-04-170139_b40ef3a5.npz,33,9,vshort/v_10k/en
-NXcTEiJV8k,cut_detection,cut_detection_model_facing_2026-07-20_16-51-03-654258_5b73bbac.npz,33,9,vshort/v_10k/en
-NXcTEiJV8k,scene_classification,scene_classification_features.npz,33,9,vshort/v_10k/en
-NXcTEiJV8k,uniqueness,uniqueness.npz,33,9,vshort/v_10k/en
-NXcTEiJV8k,video_pacing,video_pacing_features.npz,33,9,vshort/v_10k/en
-NqaupGcCpw,core_clip,embeddings.npz,300,375,long/v_viral/en
-NqaupGcCpw,core_optical_flow,flow.npz,300,375,long/v_viral/en
-NqaupGcCpw,cut_detection,cut_detection_model_facing_2026-07-20_05-16-59-881246_2ada6eb4.npz,300,375,long/v_viral/en
-NqaupGcCpw,cut_detection,cut_detection_features_2026-07-20_05-17-00-376471_b107d3e5.npz,300,375,long/v_viral/en
-NqaupGcCpw,scene_classification,scene_classification_features.npz,250,375,long/v_viral/en
-NqaupGcCpw,uniqueness,uniqueness.npz,120,375,long/v_viral/en
-NqaupGcCpw,video_pacing,video_pacing_features.npz,120,375,long/v_viral/en
-QD-kI9gFA8,core_clip,embeddings.npz,176,44,short/v_viral/other
-QD-kI9gFA8,core_optical_flow,flow.npz,176,44,short/v_viral/other
-QD-kI9gFA8,cut_detection,cut_detection_features_2026-07-20_23-34-54-732205_afbb9d34.npz,176,44,short/v_viral/other
-QD-kI9gFA8,cut_detection,cut_detection_model_facing_2026-07-20_23-34-53-743779_c409e681.npz,176,44,short/v_viral/other
-QD-kI9gFA8,scene_classification,scene_classification_features.npz,176,44,short/v_viral/other
-QD-kI9gFA8,uniqueness,uniqueness.npz,120,44,short/v_viral/other
-QD-kI9gFA8,video_pacing,video_pacing_features.npz,120,44,short/v_viral/other
-TYL3ldGOfQ,core_clip,embeddings.npz,253,88,medium/v_viral/other
-TYL3ldGOfQ,core_optical_flow,flow.npz,253,88,medium/v_viral/other
-TYL3ldGOfQ,cut_detection,cut_detection_features_2026-07-20_07-18-40-666086_b3822caa.npz,253,88,medium/v_viral/other
-TYL3ldGOfQ,cut_detection,cut_detection_model_facing_2026-07-20_07-18-40-061194_8736b36f.npz,253,88,medium/v_viral/other
-TYL3ldGOfQ,scene_classification,scene_classification_features.npz,250,88,medium/v_viral/other
-TYL3ldGOfQ,uniqueness,uniqueness.npz,120,88,medium/v_viral/other
-TYL3ldGOfQ,video_pacing,video_pacing_features.npz,120,88,medium/v_viral/other
-YKOt-2SEn0,core_clip,embeddings.npz,299,394,long/v_1m/other
-YKOt-2SEn0,core_optical_flow,flow.npz,299,394,long/v_1m/other
-YKOt-2SEn0,cut_detection,cut_detection_model_facing_2026-07-20_11-49-02-735456_76b42593.npz,299,394,long/v_1m/other
-YKOt-2SEn0,cut_detection,cut_detection_features_2026-07-20_11-49-03-392037_59af8b13.npz,299,394,long/v_1m/other
-YKOt-2SEn0,scene_classification,scene_classification_features.npz,249,394,long/v_1m/other
-YKOt-2SEn0,uniqueness,uniqueness.npz,119,394,long/v_1m/other
-YKOt-2SEn0,video_pacing,video_pacing_features.npz,119,394,long/v_1m/other
-YlmnPh-6rE,core_clip,embeddings.npz,281,189,long/v_viral/en
-YlmnPh-6rE,core_optical_flow,flow.npz,281,189,long/v_viral/en
-YlmnPh-6rE,cut_detection,cut_detection_features_2026-07-20_19-43-18-276234_db94d803.npz,281,189,long/v_viral/en
-YlmnPh-6rE,cut_detection,cut_detection_model_facing_2026-07-20_19-43-17-735102_e1dbc842.npz,281,189,long/v_viral/en
-YlmnPh-6rE,scene_classification,scene_classification_features.npz,250,189,long/v_viral/en
-YlmnPh-6rE,uniqueness,uniqueness.npz,120,189,long/v_viral/en
-YlmnPh-6rE,video_pacing,video_pacing_features.npz,120,189,long/v_viral/en
-ZGhYcYm5ec,core_clip,embeddings.npz,241,63,medium/v_viral/ru
-ZGhYcYm5ec,core_optical_flow,flow.npz,241,63,medium/v_viral/ru
-ZGhYcYm5ec,cut_detection,cut_detection_model_facing_2026-07-20_14-49-43-465271_d54b1a65.npz,241,63,medium/v_viral/ru
-ZGhYcYm5ec,cut_detection,cut_detection_features_2026-07-20_14-49-44-178081_26babc27.npz,241,63,medium/v_viral/ru
-ZGhYcYm5ec,scene_classification,scene_classification_features.npz,241,63,medium/v_viral/ru
-ZGhYcYm5ec,uniqueness,uniqueness.npz,120,63,medium/v_viral/ru
-ZGhYcYm5ec,video_pacing,video_pacing_features.npz,120,63,medium/v_viral/ru
-aOalxYcqaA,core_clip,embeddings.npz,314,777,long/v_low/other
-aOalxYcqaA,core_optical_flow,flow.npz,314,777,long/v_low/other
-aOalxYcqaA,cut_detection,cut_detection_model_facing_2026-07-20_05-01-11-295210_66db2a29.npz,314,777,long/v_low/other
-aOalxYcqaA,cut_detection,cut_detection_features_2026-07-20_05-01-11-784438_be373f98.npz,314,777,long/v_low/other
-aOalxYcqaA,scene_classification,scene_classification_features.npz,249,777,long/v_low/other
-aOalxYcqaA,uniqueness,uniqueness.npz,119,777,long/v_low/other
-aOalxYcqaA,video_pacing,video_pacing_features.npz,119,777,long/v_low/other
-b6R90tTyr4,core_clip,embeddings.npz,241,62,medium/v_10k/en
-b6R90tTyr4,core_optical_flow,flow.npz,241,62,medium/v_10k/en
-b6R90tTyr4,cut_detection,cut_detection_features_2026-07-19_18-58-33-797597_c3158507.npz,241,62,medium/v_10k/en
-b6R90tTyr4,cut_detection,cut_detection_model_facing_2026-07-19_18-58-33-200816_ed47f48a.npz,241,62,medium/v_10k/en
-b6R90tTyr4,scene_classification,scene_classification_features.npz,241,62,medium/v_10k/en
-b6R90tTyr4,uniqueness,uniqueness.npz,120,62,medium/v_10k/en
-b6R90tTyr4,video_pacing,video_pacing_features.npz,120,62,medium/v_10k/en
-bzI7MYSpr0,core_clip,embeddings.npz,33,9,vshort/v_low/other
-bzI7MYSpr0,core_optical_flow,flow.npz,33,9,vshort/v_low/other
-bzI7MYSpr0,cut_detection,cut_detection_model_facing_2026-07-19_21-00-39-544346_9931296c.npz,33,9,vshort/v_low/other
-bzI7MYSpr0,cut_detection,cut_detection_features_2026-07-19_21-00-39-953443_33758c30.npz,33,9,vshort/v_low/other
-bzI7MYSpr0,scene_classification,scene_classification_features.npz,33,9,vshort/v_low/other
-bzI7MYSpr0,uniqueness,uniqueness.npz,33,9,vshort/v_low/other
-bzI7MYSpr0,video_pacing,video_pacing_features.npz,33,9,vshort/v_low/other
-g2QIxq_I7c,core_clip,embeddings.npz,251,86,medium/v_low/other
-g2QIxq_I7c,core_optical_flow,flow.npz,251,86,medium/v_low/other
-g2QIxq_I7c,cut_detection,cut_detection_model_facing_2026-07-20_00-24-22-433108_5678e758.npz,251,86,medium/v_low/other
-g2QIxq_I7c,cut_detection,cut_detection_features_2026-07-20_00-24-22-869364_8f1ecac8.npz,251,86,medium/v_low/other
-g2QIxq_I7c,scene_classification,scene_classification_features.npz,249,86,medium/v_low/other
-g2QIxq_I7c,uniqueness,uniqueness.npz,119,86,medium/v_low/other
-g2QIxq_I7c,video_pacing,video_pacing_features.npz,119,86,medium/v_low/other
-kzwS6fFWy8,core_clip,embeddings.npz,240,61,medium/v_low/other
-kzwS6fFWy8,core_optical_flow,flow.npz,240,61,medium/v_low/other
-kzwS6fFWy8,cut_detection,cut_detection_features_2026-07-20_06-56-16-529374_aece2cf0.npz,240,61,medium/v_low/other
-kzwS6fFWy8,cut_detection,cut_detection_model_facing_2026-07-20_06-56-16-043254_9da3341f.npz,240,61,medium/v_low/other
-kzwS6fFWy8,scene_classification,scene_classification_features.npz,240,61,medium/v_low/other
-kzwS6fFWy8,uniqueness,uniqueness.npz,120,61,medium/v_low/other
-kzwS6fFWy8,video_pacing,video_pacing_features.npz,120,61,medium/v_low/other
-l4TnuEXQ8s,core_clip,embeddings.npz,217,55,short/v_10k/other
-l4TnuEXQ8s,core_optical_flow,flow.npz,217,55,short/v_10k/other
-l4TnuEXQ8s,cut_detection,cut_detection_features_2026-07-20_22-38-54-721821_871fb9dc.npz,217,55,short/v_10k/other
-l4TnuEXQ8s,cut_detection,cut_detection_model_facing_2026-07-20_22-38-54-256939_75594a95.npz,217,55,short/v_10k/other
-l4TnuEXQ8s,scene_classification,scene_classification_features.npz,217,55,short/v_10k/other
-l4TnuEXQ8s,uniqueness,uniqueness.npz,119,55,short/v_10k/other
-l4TnuEXQ8s,video_pacing,video_pacing_features.npz,119,55,short/v_10k/other
-rpj5acpLKw,core_clip,embeddings.npz,27,7,vshort/v_10k/other
-rpj5acpLKw,core_optical_flow,flow.npz,27,7,vshort/v_10k/other
-rpj5acpLKw,cut_detection,cut_detection_features_2026-07-19_20-35-31-295001_8827c5b2.npz,27,7,vshort/v_10k/other
-rpj5acpLKw,cut_detection,cut_detection_model_facing_2026-07-19_20-35-30-848379_ccf0cf75.npz,27,7,vshort/v_10k/other
-rpj5acpLKw,scene_classification,scene_classification_features.npz,27,7,vshort/v_10k/other
-rpj5acpLKw,uniqueness,uniqueness.npz,27,7,vshort/v_10k/other
-rpj5acpLKw,video_pacing,video_pacing_features.npz,0,7,vshort/v_10k/other
-sttFwxZPSo,core_clip,embeddings.npz,34,8,vshort/v_100k/other
-sttFwxZPSo,core_optical_flow,flow.npz,34,8,vshort/v_100k/other
-sttFwxZPSo,cut_detection,cut_detection_model_facing_2026-07-20_16-40-19-154371_e5d1e878.npz,34,8,vshort/v_100k/other
-sttFwxZPSo,cut_detection,cut_detection_features_2026-07-20_16-40-19-626385_c9881352.npz,34,8,vshort/v_100k/other
-sttFwxZPSo,scene_classification,scene_classification_features.npz,34,8,vshort/v_100k/other
-sttFwxZPSo,uniqueness,uniqueness.npz,34,8,vshort/v_100k/other
-sttFwxZPSo,video_pacing,video_pacing_features.npz,34,8,vshort/v_100k/other
-t1WA7trelE,core_clip,embeddings.npz,35,9,vshort/v_100k/other
-t1WA7trelE,core_optical_flow,flow.npz,35,9,vshort/v_100k/other
-t1WA7trelE,cut_detection,cut_detection_model_facing_2026-07-20_23-50-14-760011_a7f4bb70.npz,35,9,vshort/v_100k/other
-t1WA7trelE,cut_detection,cut_detection_features_2026-07-20_23-50-15-286451_e0367b0f.npz,35,9,vshort/v_100k/other
-t1WA7trelE,scene_classification,scene_classification_features.npz,35,9,vshort/v_100k/other
-t1WA7trelE,uniqueness,uniqueness.npz,35,9,vshort/v_100k/other
-t1WA7trelE,video_pacing,video_pacing_features.npz,35,9,vshort/v_100k/other
-u-devGZao0,core_clip,embeddings.npz,303,646,long/v_1m/other
-u-devGZao0,core_optical_flow,flow.npz,303,646,long/v_1m/other
-u-devGZao0,cut_detection,cut_detection_features_2026-07-20_18-59-32-752022_6a7f0335.npz,303,646,long/v_1m/other
-u-devGZao0,cut_detection,cut_detection_model_facing_2026-07-20_18-59-32-140346_12be577f.npz,303,646,long/v_1m/other
-u-devGZao0,scene_classification,scene_classification_features.npz,249,646,long/v_1m/other
-u-devGZao0,uniqueness,uniqueness.npz,119,646,long/v_1m/other
-u-devGZao0,video_pacing,video_pacing_features.npz,119,646,long/v_1m/other
-wPo7JowOLk,core_clip,embeddings.npz,20,5,vshort/v_viral/other
-wPo7JowOLk,core_optical_flow,flow.npz,20,5,vshort/v_viral/other
-wPo7JowOLk,cut_detection,cut_detection_features_2026-07-19_21-12-12-755713_efd30e25.npz,20,5,vshort/v_viral/other
-wPo7JowOLk,cut_detection,cut_detection_model_facing_2026-07-19_21-12-12-344437_29fa47dd.npz,20,5,vshort/v_viral/other
-wPo7JowOLk,scene_classification,scene_classification_features.npz,20,5,vshort/v_viral/other
-wPo7JowOLk,uniqueness,uniqueness.npz,20,5,vshort/v_viral/other
-wPo7JowOLk,video_pacing,video_pacing_features.npz,0,5,vshort/v_viral/other
-z4lSj-YhKs,core_clip,embeddings.npz,37,9,vshort/v_1m/other
-z4lSj-YhKs,core_optical_flow,flow.npz,37,9,vshort/v_1m/other
-z4lSj-YhKs,cut_detection,cut_detection_model_facing_2026-07-21_00-19-25-265846_c095c652.npz,37,9,vshort/v_1m/other
-z4lSj-YhKs,cut_detection,cut_detection_features_2026-07-21_00-19-25-751557_f2454ea2.npz,37,9,vshort/v_1m/other
-z4lSj-YhKs,scene_classification,scene_classification_features.npz,37,9,vshort/v_1m/other
-z4lSj-YhKs,uniqueness,uniqueness.npz,37,9,vshort/v_1m/other
-z4lSj-YhKs,video_pacing,video_pacing_features.npz,37,9,vshort/v_1m/other
00RlGST0Ff4,core_clip,embeddings.npz,265,124,medium/v_low/other
00RlGST0Ff4,core_optical_flow,flow.npz,265,124,medium/v_low/other
00RlGST0Ff4,cut_detection,cut_detection_model_facing_2026-07-20_14-17-25-450148_d5f4d259.npz,265,124,medium/v_low/other
00RlGST0Ff4,cut_detection,cut_detection_features_2026-07-20_14-17-25-961573_7a175bef.npz,265,124,medium/v_low/other
00RlGST0Ff4,scene_classification,scene_classification_features.npz,250,124,medium/v_low/other
00RlGST0Ff4,uniqueness,uniqueness.npz,120,124,medium/v_low/other
00RlGST0Ff4,video_pacing,video_pacing_features.npz,120,124,medium/v_low/other
00qaoE0f7A4,core_clip,embeddings.npz,31,8,vshort/v_1m/en
00qaoE0f7A4,core_optical_flow,flow.npz,31,8,vshort/v_1m/en
00qaoE0f7A4,cut_detection,cut_detection_features_2026-07-21_00-14-19-258252_4180c273.npz,31,8,vshort/v_1m/en
00qaoE0f7A4,cut_detection,cut_detection_model_facing_2026-07-21_00-14-18-753948_da46de93.npz,31,8,vshort/v_1m/en
00qaoE0f7A4,scene_classification,scene_classification_features.npz,31,8,vshort/v_1m/en
00qaoE0f7A4,uniqueness,uniqueness.npz,31,8,vshort/v_1m/en
00qaoE0f7A4,video_pacing,video_pacing_features.npz,31,8,vshort/v_1m/en
01I9321tRt4,core_clip,embeddings.npz,273,151,medium/v_viral/other
01I9321tRt4,core_optical_flow,flow.npz,273,151,medium/v_viral/other
01I9321tRt4,cut_detection,cut_detection_features_2026-07-20_21-55-11-866768_6c9dc9cd.npz,273,151,medium/v_viral/other
01I9321tRt4,cut_detection,cut_detection_model_facing_2026-07-20_21-55-11-298381_606a777f.npz,273,151,medium/v_viral/other
01I9321tRt4,scene_classification,scene_classification_features.npz,250,151,medium/v_viral/other
01I9321tRt4,uniqueness,uniqueness.npz,120,151,medium/v_viral/other
01I9321tRt4,video_pacing,video_pacing_features.npz,120,151,medium/v_viral/other
02wjT-r-pZo,core_clip,embeddings.npz,207,52,short/v_10k/ru
02wjT-r-pZo,core_optical_flow,flow.npz,207,52,short/v_10k/ru
02wjT-r-pZo,cut_detection,cut_detection_features_2026-07-20_15-30-09-192348_e918b235.npz,207,52,short/v_10k/ru
02wjT-r-pZo,cut_detection,cut_detection_model_facing_2026-07-20_15-30-08-662905_bc8bb5b6.npz,207,52,short/v_10k/ru
02wjT-r-pZo,scene_classification,scene_classification_features.npz,207,52,short/v_10k/ru
02wjT-r-pZo,uniqueness,uniqueness.npz,120,52,short/v_10k/ru
02wjT-r-pZo,video_pacing,video_pacing_features.npz,120,52,short/v_10k/ru
04_4Bvo_pc8,core_clip,embeddings.npz,16,4,vshort/v_viral/ru
04_4Bvo_pc8,core_optical_flow,flow.npz,16,4,vshort/v_viral/ru
04_4Bvo_pc8,cut_detection,cut_detection_model_facing_2026-07-20_03-31-16-432975_dbe38cc7.npz,16,4,vshort/v_viral/ru
04_4Bvo_pc8,cut_detection,cut_detection_features_2026-07-20_03-31-16-962485_8165d831.npz,16,4,vshort/v_viral/ru
04_4Bvo_pc8,scene_classification,scene_classification_features.npz,16,4,vshort/v_viral/ru
04_4Bvo_pc8,uniqueness,uniqueness.npz,16,4,vshort/v_viral/ru
04_4Bvo_pc8,video_pacing,video_pacing_features.npz,0,4,vshort/v_viral/ru
0588rgW8C1I,core_clip,embeddings.npz,196,50,short/v_low/en
0588rgW8C1I,core_optical_flow,flow.npz,196,50,short/v_low/en
0588rgW8C1I,cut_detection,cut_detection_model_facing_2026-07-20_01-51-44-556439_cf4d6890.npz,196,50,short/v_low/en
0588rgW8C1I,cut_detection,cut_detection_features_2026-07-20_01-51-45-056761_6e84c704.npz,196,50,short/v_low/en
0588rgW8C1I,scene_classification,scene_classification_features.npz,196,50,short/v_low/en
0588rgW8C1I,uniqueness,uniqueness.npz,120,50,short/v_low/en
0588rgW8C1I,video_pacing,video_pacing_features.npz,120,50,short/v_low/en
05deYJMn-c8,core_clip,embeddings.npz,305,666,long/v_low/en
05deYJMn-c8,core_optical_flow,flow.npz,305,666,long/v_low/en
05deYJMn-c8,cut_detection,cut_detection_model_facing_2026-07-20_12-06-41-038472_70d86dd0.npz,305,666,long/v_low/en
05deYJMn-c8,cut_detection,cut_detection_features_2026-07-20_12-06-41-524286_6b1b2a69.npz,305,666,long/v_low/en
05deYJMn-c8,scene_classification,scene_classification_features.npz,249,666,long/v_low/en
05deYJMn-c8,uniqueness,uniqueness.npz,119,666,long/v_low/en
05deYJMn-c8,video_pacing,video_pacing_features.npz,119,666,long/v_low/en
07D7us_BVOI,core_clip,embeddings.npz,35,9,vshort/v_10k/other
07D7us_BVOI,core_optical_flow,flow.npz,35,9,vshort/v_10k/other
07D7us_BVOI,cut_detection,cut_detection_features_2026-07-20_02-41-37-860128_090e6190.npz,35,9,vshort/v_10k/other
